market id,market symbol,market name,trade quantity,trade price,date/time [utc]
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,8.5,Mar/25/2005 05:31:23
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,5.2,Mar/25/2005 18:52:18
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,6.8,Mar/26/2005 16:16:39
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,6.9,Mar/26/2005 16:16:56
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,6.7,Mar/28/2005 05:40:21
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,6,6.8,Mar/28/2005 05:40:40
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,12,6.8,Mar/28/2005 05:41:03
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,2,6.6,Mar/29/2005 19:34:56
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,13,6.7,Mar/29/2005 19:35:29
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,6.2,Mar/31/2005 16:15:40
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,3,6.0,Apr/01/2005 07:37:59
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,6.1,Apr/01/2005 07:37:59
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,5.5,Apr/01/2005 19:26:57
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,1,5.5,Apr/01/2005 19:26:57
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,20,5.2,Apr/01/2005 19:27:14
213101,USA.AIRSTRIKE.JUN05,USA to launch an Air Strike by June 30 against Cuba, Iran, Libya, North Korea, Sudan or Syria,20,5.2,Apr/01/2005 19:28:39
