market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,65.0,Sep/16/2004 02:31:19
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,65.0,Sep/16/2004 13:45:00
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,65.0,Sep/16/2004 20:20:22
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,4,65.0,Sep/16/2004 20:25:34
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,91,65.0,Sep/16/2004 21:05:20
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,64.9,Sep/16/2004 21:05:20
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,63.0,Sep/17/2004 20:26:24
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,63.0,Sep/17/2004 20:32:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,67.0,Sep/17/2004 21:49:21
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,66.0,Sep/19/2004 05:43:53
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,98,66.0,Sep/21/2004 03:05:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,26,62.0,Sep/21/2004 13:57:21
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,65.0,Sep/21/2004 13:57:21
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,62.0,Sep/21/2004 17:42:37
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,60.5,Sep/22/2004 18:45:28
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,12,65.0,Sep/23/2004 14:59:58
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,62.2,Sep/23/2004 20:03:44
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,20,63.0,Sep/27/2004 23:26:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,30,63.0,Sep/27/2004 23:26:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,65.5,Sep/29/2004 16:25:17
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,15,62.2,Sep/30/2004 02:51:07
